index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
205,1940,13,ACTOR IN A SUPPORTING ROLE,Walter Brennan,The Westerner,Judge Roy Bean,,,,True,Single Winner
206,1940,13,ACTRESS,Ginger Rogers,Kitty Foyle,Kitty Foyle,,,,True,Single Winner
207,1940,13,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,Ma Joad,,,,True,Single Winner
208,1940,13,ART DIRECTION (Black-and-White),"Cedric Gibbons, Paul Groesse",Pride and Prejudice,,,,,True,Single Winner
209,1940,13,ART DIRECTION (Color),Vincent Korda,The Thief of Bagdad,,,,,True,Single Winner
210,1940,13,CINEMATOGRAPHY (Black-and-White),George Barnes,Rebecca,,,,,False,Single Winner
211,1940,13,CINEMATOGRAPHY (Color),Georges Périnal,The Thief of Bagdad,,,,,False,Single Winner
212,1940,13,DIRECTING,John Ford,The Grapes of Wrath,,,,,True,Single Winner
213,1940,13,FILM EDITING,Anne Bauchens,North West Mounted Police,,,,,False,Single Winner
214,1940,13,MUSIC (Original Score),"Leigh Harline, Paul J. Smith, Ned Washington",Pinocchio,,,,,False,Single Winner
215,1940,13,MUSIC (Scoring),Alfred Newman,Tin Pan Alley,,,,,False,Single Winner
216,1940,13,MUSIC (Song),Music by Leigh Harline; Lyrics by Ned Washington,Pinocchio,,,,,False,Single Winner
217,1940,13,OUTSTANDING PRODUCTION,Selznick International Pictures,Rebecca,,,,,False,Single Winner
218,1940,13,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,"To 20TH CENTURY-FOX FILM CORP. for the design and construction of the 20th Century Silenced Camera, developed by DANIEL CLARK, GROVER LAUBE, CHARLES MILLER and ROBERT W. STEVENS.",,,False,Single Winner
219,1940,13,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To WARNER BROS. STUDIO ART DEPARTMENT and ANTON GROT for the design and perfection of the Warner Bros. water ripple and wave illusion machine.,,,False,Single Winner
220,1940,13,SHORT SUBJECT (Cartoon),Metro-Goldwyn-Mayer,The Milky Way,,,,,False,Single Winner
221,1940,13,SHORT SUBJECT (One-reel),"Pete Smith, Producer",Quicker 'N a Wink,,,,,False,Single Winner
222,1940,13,SHORT SUBJECT (Two-reel),Warner Bros.,"Teddy, the Rough Rider",,,,,False,Single Winner
223,1940,13,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Strike Up the Band,,,,,False,Single Winner
224,1940,13,SPECIAL AWARD,,,,"To Bob Hope, in recognition of his unselfish services to the Motion Picture Industry.",,,False,Single Winner
225,1940,13,SPECIAL EFFECTS,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,The Thief of Bagdad,,,,,False,Single Winner
226,1940,13,WRITING (Original Screenplay),Preston Sturges,The Great McGinty,,,,,False,Single Winner
227,1940,13,WRITING (Original Story),"Benjamin Glazer, John S. Toldy","Arise, My Love",,,,,False,Single Winner
228,1940,13,WRITING (Screenplay),Donald Ogden Stewart,The Philadelphia Story,,,,,False,Single Winner
229,1941,14,ACTOR,Gary Cooper,Sergeant York,Alvin C. York,,,,True,Single Winner
230,1941,14,ACTOR IN A SUPPORTING ROLE,Donald Crisp,How Green Was My Valley,Mr. Morgan,,,,True,Single Winner
231,1941,14,ACTRESS,Joan Fontaine,Suspicion,Lina McLaidlaw,,,,True,Single Winner
232,1941,14,ACTRESS IN A SUPPORTING ROLE,Mary Astor,The Great Lie,Sandra Kovak,,,,True,Single Winner
233,1941,14,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",How Green Was My Valley,,,,,True,Single Winner
234,1941,14,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",Blossoms in the Dust,,,,,True,Single Winner
235,1941,14,CINEMATOGRAPHY (Black-and-White),Arthur Miller,How Green Was My Valley,,,,,False,Single Winner
236,1941,14,CINEMATOGRAPHY (Color),"Ernest Palmer, Ray Rennahan",Blood and Sand,,,,,False,Single Winner
237,1941,14,DIRECTING,John Ford,How Green Was My Valley,,,,,True,Single Winner
238,1941,14,DOCUMENTARY (Short Subject),National Film Board of Canada,Churchill's Island,,,,,False,Single Winner
239,1941,14,FILM EDITING,William Holmes,Sergeant York,,,,,False,Single Winner
240,1941,14,IRVING G. THALBERG MEMORIAL AWARD,Walt Disney,,,,,,False,Single Winner
241,1941,14,MUSIC (Music Score of a Dramatic Picture),Bernard Herrmann,All That Money Can Buy,,,,,False,Single Winner
242,1941,14,MUSIC (Scoring of a Musical Picture),"Frank Churchill, Oliver Wallace",Dumbo,,,,,False,Single Winner
243,1941,14,MUSIC (Song),Music by Jerome Kern; Lyrics by Oscar Hammerstein II,Lady Be Good,,,,,False,Single Winner
244,1941,14,OUTSTANDING MOTION PICTURE,20th Century-Fox,How Green Was My Valley,,,,,False,Single Winner
245,1941,14,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To ELECTRICAL RESEARCH PRODUCTS DIVISION OF WESTERN ELECTRIC CO., INC., for the development of the precision integrating sphere densitometer.",,,False,Single Winner
246,1941,14,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To RAY WILKINSON and the PARAMOUNT STUDIO LABORATORY for pioneering in the use of and for the first practical application to release printing of fine grain positive stock.,,,False,Single Winner
247,1941,14,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Lend a Paw,,,,,False,Single Winner
248,1941,14,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,Of Pups and Puzzles,,,,,False,Single Winner
249,1941,14,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Main Street on the March!,,,,,False,Single Winner
250,1941,14,SOUND RECORDING,"General Service Sound Department, Jack Whitney, Sound Director",That Hamilton Woman,,,,,False,Single Winner
251,1941,14,SPECIAL AWARD,,,,"To Rey Scott for his extraordinary achievement in producing Kukan, the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions.",,,False,Single Winner
252,1941,14,SPECIAL EFFECTS,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",I Wanted Wings,,,,,False,Single Winner
253,1941,14,WRITING (Original Screenplay),"Herman J. Mankiewicz, Orson Welles",Citizen Kane,,,,,False,Single Winner
254,1941,14,WRITING (Original Story),Harry Segall,Here Comes Mr. Jordan,,,,,False,Single Winner
255,1941,14,WRITING (Screenplay),"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan,,,,,False,Single Winner
256,1942,15,ACTOR,James Cagney,Yankee Doodle Dandy,George M. Cohan,,,,True,Single Winner
257,1942,15,ACTOR IN A SUPPORTING ROLE,Van Heflin,Johnny Eager,Jeff Hartnett,,,,True,Single Winner
258,1942,15,ACTRESS,Greer Garson,Mrs. Miniver,Kay Miniver,,,,True,Single Winner
259,1942,15,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,Mrs. Miniver,Carol Beldon,,,,True,Single Winner
260,1942,15,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",This above All,,,,,True,Single Winner
261,1942,15,ART DIRECTION (Color),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",My Gal Sal,,,,,True,Single Winner
262,1942,15,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Mrs. Miniver,,,,,False,Single Winner
263,1942,15,CINEMATOGRAPHY (Color),Leon Shamroy,The Black Swan,,,,,False,Single Winner
264,1942,15,DIRECTING,William Wyler,Mrs. Miniver,,,,,True,Single Winner
265,1942,15,DOCUMENTARY,United States Navy,The Battle of Midway,,,,"""A special award to Battle of Midway for the historical value of its achievement in offering a camera record of one of the decisive battles of the world - a record unique both for the courage of those who made it under fire, and for its magnificent portrayal of the gallantry of our armed forces in battle.""",False,Multiple Winners
266,1942,15,DOCUMENTARY,Australian News & Information Bureau,Kokoda Front Line!,,,,"""A special award to Battle of Midway for the historical value of its achievement in offering a camera record of one of the decisive battles of the world - a record unique both for the courage of those who made it under fire, and for its magnificent portrayal of the gallantry of our armed forces in battle.""",False,Multiple Winners
267,1942,15,DOCUMENTARY,Artkino,Moscow Strikes Back,,,,"""A special award to Battle of Midway for the historical value of its achievement in offering a camera record of one of the decisive battles of the world - a record unique both for the courage of those who made it under fire, and for its magnificent portrayal of the gallantry of our armed forces in battle.""",False,Multiple Winners
268,1942,15,DOCUMENTARY,United States Navy,Prelude to War,,,,"""A special award to Battle of Midway for the historical value of its achievement in offering a camera record of one of the decisive battles of the world - a record unique both for the courage of those who made it under fire, and for its magnificent portrayal of the gallantry of our armed forces in battle.""",False,Multiple Winners
269,1942,15,FILM EDITING,Daniel Mandell,The Pride of the Yankees,,,,,False,Single Winner
270,1942,15,IRVING G. THALBERG MEMORIAL AWARD,Sidney Franklin,,,,,,False,Single Winner
271,1942,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,"Now, Voyager",,,,,False,Single Winner
272,1942,15,MUSIC (Scoring of a Musical Picture),"Ray Heindorf, Heinz Roemheld",Yankee Doodle Dandy,,,,,False,Single Winner
273,1942,15,MUSIC (Song),Music and Lyrics by Irving Berlin,Holiday Inn,,,,,False,Single Winner
274,1942,15,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,Mrs. Miniver,,,,,False,Single Winner
275,1942,15,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To CARROLL CLARK, F. THOMAS THOMPSON and the RKO RADIO STUDIO ART and MINIATURE DEPARTMENTS for the design and construction of a moving cloud and horizon machine.",,,False,Single Winner
276,1942,15,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To ROBERT HENDERSON and the PARAMOUNT STUDIO ENGINEERING and TRANSPARENCY DEPARTMENTS for the design and construction of adjustable light bridges and screen frames for transparency process photography.,,,False,Single Winner
277,1942,15,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Der Fuehrer's Face,,,,,False,Single Winner
278,1942,15,SHORT SUBJECT (One-reel),Paramount,Speaking of Animals and Their Families,,,,,False,Single Winner
279,1942,15,SHORT SUBJECT (Two-reel),Warner Bros.,Beyond the Line of Duty,,,,,False,Single Winner
280,1942,15,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Yankee Doodle Dandy,,,,,False,Single Winner
281,1942,15,SPECIAL AWARD,,,,To Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,,,False,Single Winner
282,1942,15,SPECIAL EFFECTS,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",Reap the Wild Wind,,,,,False,Single Winner
283,1942,15,WRITING (Original Motion Picture Story),Emeric Pressburger,The Invaders,,,,,False,Single Winner
284,1942,15,WRITING (Original Screenplay),"Ring Lardner, Jr., Michael Kanin",Woman of the Year,,,,,False,Single Winner
285,1942,15,WRITING (Screenplay),"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver,,,,,False,Single Winner
286,1943,16,ACTOR,Paul Lukas,Watch on the Rhine,Kurt Muller,,,,True,Single Winner
287,1943,16,ACTOR IN A SUPPORTING ROLE,Charles Coburn,The More the Merrier,Benjamin Dingle,,,,True,Single Winner
288,1943,16,ACTRESS,Jennifer Jones,The Song of Bernadette,Bernadette Soubirous,,,,True,Single Winner
289,1943,16,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls,Pilar,,,,True,Single Winner
290,1943,16,ART DIRECTION (Black-and-White),"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",The Song of Bernadette,,,,,True,Single Winner
291,1943,16,ART DIRECTION (Color),"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Phantom of the Opera,,,,,True,Single Winner
292,1943,16,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Song of Bernadette,,,,,False,Single Winner
293,1943,16,CINEMATOGRAPHY (Color),"Hal Mohr, W. Howard Greene",Phantom of the Opera,,,,,False,Single Winner
294,1943,16,DIRECTING,Michael Curtiz,Casablanca,,,,,True,Single Winner
295,1943,16,DOCUMENTARY (Feature),British Ministry of Information,Desert Victory,,,,,False,Single Winner
296,1943,16,DOCUMENTARY (Short Subject),United States Navy,December 7th,,,,,False,Single Winner
297,1943,16,FILM EDITING,George Amy,Air Force,,,,,False,Single Winner
298,1943,16,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,,,,,,False,Single Winner
299,1943,16,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,The Song of Bernadette,,,,,False,Single Winner
300,1943,16,MUSIC (Scoring of a Musical Picture),Ray Heindorf,This Is the Army,,,,,False,Single Winner
301,1943,16,MUSIC (Song),Music by Harry Warren; Lyrics by Mack Gordon,"Hello, Frisco, Hello",,,,,False,Single Winner
302,1943,16,OUTSTANDING MOTION PICTURE,Warner Bros.,Casablanca,,,,,False,Single Winner
303,1943,16,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To FARCIOT EDOUART, EARLE MORGAN, BARTON THOMPSON and the PARAMOUNT STUDIO ENGINEERING and TRANSPARENCY DEPARTMENTS for the development and practical application to motion picture production of a method of duplicating and enlarging natural color photographs, transferring the image emulsions to glass plates and projecting these slides by especially designed stereopticon equipment.",,,False,Single Winner
304,1943,16,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To DANIEL J. BLOOMBERG and the REPUBLIC STUDIO SOUND DEPARTMENT for the design and development of an inexpensive method of converting Moviolas to Class B push-pull reproduction.,,,False,Single Winner
305,1943,16,SHORT SUBJECT (Cartoon),"Frederick Quimby, Producer",Yankee Doodle Mouse,,,,,False,Single Winner
306,1943,16,SHORT SUBJECT (One-reel),"Grantland Rice, Producer",Amphibious Fighters,,,,,False,Single Winner
307,1943,16,SHORT SUBJECT (Two-reel),"Jerry Bresler and Sam Coslow, Producers",Heavenly Music,,,,,False,Single Winner
308,1943,16,SOUND RECORDING,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine,,,,,False,Single Winner
309,1943,16,SPECIAL AWARD,,,,To George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.,,,False,Single Winner
310,1943,16,SPECIAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Crash Dive,,,,,False,Single Winner
311,1943,16,WRITING (Original Motion Picture Story),William Saroyan,The Human Comedy,,,,,False,Single Winner
312,1943,16,WRITING (Original Screenplay),Norman Krasna,Princess O'Rourke,,,,,False,Single Winner
313,1943,16,WRITING (Screenplay),"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca,,,,,False,Single Winner
314,1944,17,ACTOR,Bing Crosby,Going My Way,Father O'Malley,,,,True,Single Winner
315,1944,17,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,Father Fitzgibbon,,,,True,Single Winner
316,1944,17,ACTRESS,Ingrid Bergman,Gaslight,Paula Alquist,,,,True,Single Winner
317,1944,17,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart,Ma Mott,,,,True,Single Winner
318,1944,17,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Gaslight,,,,,True,Single Winner
319,1944,17,ART DIRECTION (Color),Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little,Wilson,,,,,True,Single Winner
320,1944,17,BEST MOTION PICTURE,Paramount,Going My Way,,,,,False,Single Winner
321,1944,17,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,Laura,,,,,False,Single Winner
322,1944,17,CINEMATOGRAPHY (Color),Leon Shamroy,Wilson,,,,,False,Single Winner
323,1944,17,DIRECTING,Leo McCarey,Going My Way,,,,,True,Single Winner
324,1944,17,DOCUMENTARY (Feature),United States Navy,The Fighting Lady,,,,,False,Single Winner
325,1944,17,DOCUMENTARY (Short Subject),United States Marine Corps,With the Marines at Tarawa,,,,,False,Single Winner
326,1944,17,FILM EDITING,Barbara McLean,Wilson,,,,,False,Single Winner
327,1944,17,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,,,,,,False,Single Winner
328,1944,17,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Since You Went Away,,,,,False,Single Winner
329,1944,17,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, Carmen Dragon",Cover Girl,,,,,False,Single Winner
330,1944,17,MUSIC (Song),Music by James Van Heusen; Lyrics by Johnny Burke,Going My Way,,,,,False,Single Winner
331,1944,17,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To STEPHEN DUNN and the RKO RADIO STUDIO SOUND DEPARTMENT and RADIO CORPORATION OF AMERICA for the design and development of the electronic compressor-limiter.,,,False,Single Winner
332,1944,17,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To LINWOOD DUNN, CECIL LOVE and ACME TOOL AND MANUFACTURING COMPANY for the design and construction of the Acme-Dunn Optical Printer.",,,False,Single Winner
333,1944,17,SHORT SUBJECT (Cartoon),"Frederick C. Quimby, Producer",Mouse Trouble,,,,,False,Single Winner
334,1944,17,SHORT SUBJECT (One-reel),"Jerry Fairbanks, Producer",Who's Who in Animal Land,,,,,False,Single Winner
335,1944,17,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",I Won't Play,,,,,False,Single Winner
